X,Y,Z,u,v,,
30.1,0.0,0.0,1214.0,300,,
60.2,0.0,0.0,1111.0,367,,
90.3,0.0,0.0,1021.0,431,,
120.3,0.0,0.0,946.0,483,,
150.4,0.0,0.0,878.0,533,,
180.5,0.0,0.0,819.0,578,,
30.1,30.1,0.0,1208.0,466,,
60.2,30.1,0.0,1103.0,527,,
90.3,30.1,0.0,1012.0,579,,
120.3,30.1,0.0,936.0,624,,
150.4,30.1,0.0,869.0,665,,
180.5,30.1,0.0,811.0,702,,
30.1,60.2,0.0,1199.0,648,,
60.2,60.2,0.0,1094.0,696,,
90.3,60.2,0.0,1001.0,738,,
120.3,60.2,0.0,926.0,774,,
150.4,60.2,0.0,858.0,805,,
180.5,60.2,0.0,802.0,834,,
30.1,90.3,0.0,1195.0,843,,
60.2,90.3,0.0,1085.0,876,,
90.3,90.3,0.0,995.0,905,,
120.3,90.3,0.0,919.0,931,,
150.4,90.3,0.0,852.0,951,,
180.5,90.3,0.0,795.0,971,,
30.1,120.4,0.0,1189.0,1046,,
60.2,120.4,0.0,1081.0,1064,,
90.3,120.4,0.0,990.0,1079,,
120.3,120.4,0.0,912.0,1090,,
150.4,120.4,0.0,847.0,1102,,
180.5,120.4,0.0,790.0,1108,,
30.1,150.6,0.0,1189.0,1255,,
60.2,150.6,0.0,1076.0,1254,,
90.3,150.6,0.0,984.0,1256,,
120.3,150.6,0.0,907.0,1251,,
150.4,150.6,0.0,844.0,1250,,
180.5,150.6,0.0,787.0,1252,,
30.1,180.7,0.0,1187.0,1467,,
60.2,180.7,0.0,1076.0,1449,,
90.3,180.7,0.0,985.0,1431,,
120.3,180.7,0.0,909.0,1415,,
150.4,180.7,0.0,841.0,1403,,
180.5,180.7,0.0,783.0,1393,,
30.1,210.8,0.0,1187.0,1674,,
60.2,210.8,0.0,1078.0,1636,,
90.3,210.8,0.0,988.0,1604,,
120.3,210.8,0.0,909.0,1577,,
150.4,210.8,0.0,844.0,1552,,
180.5,210.8,0.0,786.0,1532,,
30.1,240.9,0.0,1192.0,1871,,
60.2,240.9,0.0,1084.0,1819,,
90.3,240.9,0.0,990.0,1774,,
120.3,240.9,0.0,913.0,1735,,
150.4,240.9,0.0,847.0,1700,,
180.5,240.9,0.0,791.0,1671,,
30.1,271.0,0.0,1197.0,2058,,
60.2,271.0,0.0,1088.0,1993,,
90.3,271.0,0.0,997.0,1937,,
120.3,271.0,0.0,919.0,1887,,
150.4,271.0,0.0,854.0,1845,,
180.5,271.0,0.0,794.0,1804,,
0.0,0.0,30.2,1487.0,292,,
0.0,0.0,60.3,1612.0,355,,
0.0,0.0,90.5,1723.0,416,,
0.0,0.0,120.7,1818.0,467,,
0.0,0.0,150.8,1903.0,516,,
0.0,0.0,181.0,1975.0,556,,
0.0,30.1,30.2,1488.0,458,,
0.0,30.1,60.3,1617.0,515,,
0.0,30.1,90.5,1726.0,565,,
0.0,30.1,120.7,1826.0,611,,
0.0,30.1,150.8,1911.0,652,,
0.0,30.1,181.0,1983.0,687,,
0.0,60.2,30.2,1487.0,642,,
0.0,60.2,60.3,1623.0,688,,
0.0,60.2,90.5,1735.0,728,,
0.0,60.2,120.7,1835.0,763,,
0.0,60.2,150.8,1918.0,795,,
0.0,60.2,181.0,1991.0,824,,
0.0,90.3,30.2,1491.0,839,,
0.0,90.3,60.3,1625.0,871,,
0.0,90.3,90.5,1739.0,900,,
0.0,90.3,120.7,1839.0,923,,
0.0,90.3,150.8,1927.0,943,,
0.0,90.3,181.0,1999.0,963,,
0.0,120.4,30.2,1489.0,1046,,
0.0,120.4,60.3,1630.0,1061,,
0.0,120.4,90.5,1746.0,1077,,
0.0,120.4,120.7,1846.0,1086,,
0.0,120.4,150.8,1930.0,1098,,
0.0,120.4,181.0,2005.0,1106,,
0.0,150.6,30.2,1492.0,1256,,
0.0,150.6,60.3,1629.0,1257,,
0.0,150.6,90.5,1745.0,1258,,
0.0,150.6,120.7,1846.0,1253,,
0.0,150.6,150.8,1934.0,1252,,
0.0,150.6,181.0,2008.0,1254,,
0.0,180.7,30.2,1492.0,1472,,
0.0,180.7,60.3,1631.0,1451,,
0.0,180.7,90.5,1745.0,1436,,
0.0,180.7,120.7,1847.0,1423,,
0.0,180.7,150.8,1935.0,1411,,
0.0,180.7,181.0,2009.0,1397,,
0.0,210.8,30.2,1490.0,1678,,
0.0,210.8,60.3,1630.0,1646,,
0.0,210.8,90.5,1745.0,1615,,
0.0,210.8,120.7,1844.0,1587,,
0.0,210.8,150.8,1932.0,1564,,
0.0,210.8,181.0,2005.0,1542,,
0.0,240.9,30.2,1488.0,1877,,
0.0,240.9,60.3,1627.0,1830,,
0.0,240.9,90.5,1743.0,1789,,
0.0,240.9,120.7,1842.0,1750,,
0.0,240.9,150.8,1927.0,1715,,
0.0,240.9,181.0,2003.0,1685,,
0.0,271.0,30.2,1488.0,2065,,
0.0,271.0,60.3,1624.0,2008,,
0.0,271.0,90.5,1738.0,1954,,
0.0,271.0,120.7,1836.0,1905,,
0.0,271.0,150.8,1923.0,1862,,
0.0,271.0,181.0,1996.0,1824,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
